name,institucion,provincia,pais
"Beade, Mario Santos","Parque Nacional Campos del Tuyú, Administración de Parques Nacionales, General Lavalle","Buenos Aires",Argentina
"Becerra, Federico","Grupo Morfología Funcional y Comportamiento, Instituto de Investigaciones Marinas y Costeras, Universidad Nacional de Mar del Plata - CONICET","Buenos Aires",Argentina
"Benítez, Verónica","Instituto de Ecología y Desarrollo Sustentable (INEDES), Universidad Nacional de Luján - CONICET","Buenos Aires",Argentina
"Bercê, Williams","Instituto de Biociencias, Universidad Estadual de Sao Paulo (UNESP)",,Brasil
"Birochio, Diego","Centro de Investigaciones y Transferencia de Río Negro, Universidad Nacional de Rio Negro - CONICET, Viedma","Río Negro",Argentina
"Bisceglia, Silvina",Independiente,CABA,Argentina
"Bó, Roberto F.","Grupo de Investigación en Ecología de Humedales (GIEH), Instituto de Ecología, Genética y Evolución de Buenos Aires, Universidad Nacional de Buenos Aires-CONICET y Facultad de Ciencias Exactas y Naturales (FCEyN, UBA)",CABA,Argentina
"Bobadilla, Yasmín","Grupo de Investigaciones de la Biodiversidad (GiB), Instituto Argentino de Investigaciones de Zonas Aridas (IADIZA), CCT CONICET Mendoza",Mendoza,Argentina
"Bodrati, Alejandro","Proyecto Selva Pino Paraná, Fundación Azara, San Pedro",Misiones,Argentina
"Boeris, Juan M.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones, Posadas",Misiones,Argentina
"Boero, Lourdes","Laboratorio de Ecología Evolutiva y Biología Floral. Instituto Multidisciplinario de Biología Vegetal, Universidad Nacional de Córdoba-CONICET,  Córdoba",Córdoba,Argentina
"Boh, Daniel","Museo Municipal Punta Hermengo, Miramar","Buenos Aires",Argentina
"Bolgeri, María José","Instituto de Investigaciones en Biodiversidad y Medioambiente (INIBIOMA), Universidad Nacional del Comahue - CONICET y Wildlife Conservation Society (WCS), Junin de los Andes",Neuquén,Argentina
"Bolkovic, María Luisa","Dirección Nacional de Biodiversidad, Secretaría de Ambiente y Desarrollo Sustentable de la Nación",CABA,Argentina
"Bonino, Never","EEA-Bariloche, Instituto Nacional de Tecnología Agropecuaria (INTA), San Carlos de Bariloche","Río Negro",Argentina
"Borghi, Carlos E.","INTERBIODES (Interacciones Biológicas en el Desierto), CIGEOBIO (CONICET-UNSJ), y Departamento de Biología, FCEFyN, Universidad Nacional de San Juan","San Juan",Argentina
"Borgnia, Mariela","Instituto de Ecología y Desarrollo Sustentable (INEDES), Universidad Nacional de Luján - CONICET","Buenos Aires",Argentina
"Boscarol, Nadia","Fundacion Cethus",,Argentina
"Bracamonte, Julio César","Centro de Investigaciones Básicas y Aplicadas, Universidad Nacional de Jujuy y Dirección de Áreas Protegidas de la Provincia de Jujuy",Jujuy,Argentina
"Brandolín, Pablo G.","Universidad Nacional de Rio Cuarto",Córdoba,Argentina
"Briggs, Emily","Yale University y Proyecto Mirikiná",,"Estados Unidos"
"Brividoro, Melina V.","Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Brunetto, Lucía","Departamento de Conservación y Uso Público, Parque Nacional Calilegua, Administración de Parques Nacionales",Jujuy,Argentina
"Bruno, Federico","Dirección de Recursos Naturales, Subsecretaría de Recursos Agrarios, Gobierno de La Pampa, Santa Rosa","La Pampa",Argentina
"Burgos, Eliana","Instituto Nacional de Medicina Tropical (INMeT), Ministerio de Salud de la Nación, Puerto Iguazú",Misiones,Argentina
"Busch, María","Lab. de Ecología de Poblaciones, Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Universidad de Buenos Aires - CONICET",CABA,Argentina
"Byrne, Soledad","Universidad Nacional de Luján - CONICET","Buenos Aires",Argentina
"Cáceres, Manuel O.","Instituto Balseiro, Universidad Nacional de Cuyo y Centro Atómico Bariloche (CONAE), Bariloche","Río Negro",Argentina
"Cáceres, Roberto","Fundación Proyungas, Yerba Buena",Tucumán,Argentina
"Cáceres-Saez, Iris","Laboratorio de Ecología, Comportamiento y Mamíferos Marinos, División Mastozoología, Museo Argentino de Ciencias Naturales Bernardino Rivadavia (MACN-CONICET)",CABA,Argentina
"Calfayan, Laura","Lab. de Ecología de Poblaciones, Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Universidad de Buenos Aires - CONICET",CABA,Argentina
"Camino, Micaela","Laboratorio de Biología de la Conservación, Centro de Ecología Aplicada del Litoral (CECOAL) - CONICET",Corrientes,Argentina
"Campagna, Claudio","Marine Program, Widlife Conservation Society",,"Estados Unidos"
"Campos, Claudia M.","Instituto Argentino de Investigaciones de las Zonas Áridas (IADIZA), CCT Mendoza - CONICET",Mendoza,Argentina
"Campos, Valeria E.","INTERBIODES (Interacciones Biológicas en el Desierto), CIGEOBIO (CONICET-UNSJ), y Departamento de Biología, FCEFyN, Universidad Nacional de San Juan","San Juan",Argentina
"Cano, Paula Daniela","Parque Nacional Aconquija, Administración de Parques Nacionales",Tucumán,Argentina
"Cappa, Flavio M.","Centro de Investigaciones en Geosfera y Biosfera (CIGEOBIO), CONICET, CCT San Juan","San Juan",Argentina
"Cappozzo, H. Luis","Museo Argentino de Ciencias Naturales Bernardino Rivadavia - CONICET",CABA,Argentina
"Caraballo, Diego A.","Instituto de Fisiología, Biología Molecular y Neurociencias (IFIByNE), Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires - CONICET",CABA,Argentina
"Carbajo, Anibal",,CABA,Argentina
"Carmanchahi, Pablo D.","Grupo de Investigaciones en Eco-Fisiología de Fauna Silvestre (GIEFAS), Instituto Nacional de Investigaciones en Biodiversidad y Medio Ambiente (INIBIOMA), Asentamiento Universitario San Martín de los Andes - Universidad Nacional del Comahue - CONICET, San Martín de los Andes",Neuquén,Argentina
"Carmarán, Ariel","Parque Nacional Iguazú, Administración de Parques Nacionales",Misiones,Argentina
"Carnovale, Cecilia Soledad","Centro de Bioinvestigaciones, Centro de Investigaciones y Transferencia del Noroeste de la Provincia de Buenos Aires (CIT-NOBA), UNNOBA-CONICET, Pergamino","Buenos Aires",Argentina
"Carpinetti, Bruno","Instituto de Ciencias Sociales y Administración, Universidad Nacional Arturo Jauretche","Buenos Aires",Argentina
"Carrizo, Luz Valeria","Laboratorio de Genética Evolutiva (LGE), FCEQyN, IBS-Posadas (UNaM-CONICET)",Misiones,Argentina
"Caruso, María Flavia","Dirección Regional Noroeste-CONICET, Administración de Parques Nacionales y Proyecto Jaguares en el Límite",Salta,Argentina
"Caruso, Nicolás","Grupo de Ecología Comportamental de Mamíferos (GECM) e Instituto de Ciencias Biológicas y Biomédicas del Sur (INBIOSUR), Universidad Nacional del Sur-CONICET, Bahía Blanca","Buenos Aires",Argentina
"Castellanos Insuasti, Francisco X.","Laboratorio de Genética Evolutiva, Facultad de Ciencias Exactas, Químicas y Naturales, Universidad Nacional de Misiones, Posadas",Misiones,Argentina
"Castilla, M. Cecilia","Centro de Investigaciones y Transferencia de Catamarca (CITCA), CONICET, San Fernando del Valle de Catamarca",Catamarca,Argentina
"Castillo, Diego F.","Instituto de Ciencias Biológicas y Biomédicas del Sur (INBIOSUR), Universidad Nacional del Sur-CONICET, Bahía Blanca","Buenos Aires",Argentina
"Castro, Lucila B.","Instituto de Diversidad y Ecología Animal (IDEA), CONICET-Universidad Nacional de Córdoba",Córdoba,Argentina
"Cavia, Regino","Lab. de Ecología de Poblaciones, Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Universidad de Buenos Aires - CONICET",CABA,Argentina
"Cavicchia, Marcelo","Delegación Regional Noreste, Administración de Parques Nacionales, Puerto Iguazú",Misiones,Argentina
"Cepeda, Carla","EEA-Santa Cruz, Instituto Nacional de Tecnología Agropecuaria (INTA), Río Gallegos","Santa Cruz",Argentina
"Chalcobsky, Ailén","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Chalukián, Silvia","UICN, Tapir Specialist Group, Bariloche","Río Negro",Argentina
"Chehébar, Claudio","Dirección Regional Patagonia Norte, Administración de Parques Nacionales, Bariloche","Río Negro",Argentina
"Chemisquy, M. Amelia","Centro Regional de Investigaciones Científicas y Transferencia Tecnológica de La Rioja  (CRILAR) - Provincia de La Rioja, UNLaR, UNCa, SEGEMAR, CONICET","La Rioja",Argentina
"Chimento, Nicolás R.","Laboratorio de Anatomía Comparada y Evolución de los Vertebrados, Museo Argentino de Ciencias Naturales Bernardion Rivadavia - CONICET",CABA,Argentina
"Cirignoli, Sebastián","Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Claudio Sillero","Canid Specialist Group, IUCN y WildCRU, University of Oxford, Reino Unido",,"Reino Unido"
"Cockle, Kristina","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Proyecto Selva Pino Paraná, Fundación Azara, San Pedro",Misiones,Argentina
"Coda, José A.","Facultad de Ciencias Exactas, Físico-Químicas y Naturales, Universidad Nacional de Río Cuarto-CONICET",Córdoba,Argentina
"Corriale, María José","Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA-CONICET) y Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires",CABA,Argentina
"Coscarella, Mariano A.","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Costa, Sebastián","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Courtalón, Paula","Grupo de Investigación en Ecología de Humedales (GIEH), Instituto de Ecología, Genética y Evolución de Buenos Aires, Universidad Nacional de Buenos Aires-CONICET y Facultad de Ciencias Exactas y Naturales (FCEyN, UBA)",CABA,Argentina
"Crespo, Enrique","Laboratorio de Mamíferos Marinos, Centro para el Estudio de Sistemas Marinos, Centro Nacional Patagónico (CESIMAR - CENPAT – CONICET)",Chubut,Argentina
"Cristofani, Gonzalo","Secretaría de Ambiente y Desarrollo Sustentable de la Provincia de Salta, Salta",Salta,Argentina
"Cruz, Paula","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Cuevas, María Fernanda","Grupo de Investigaciones de la Biodiversidad (GiB), Instituto Argentino de Investigaciones de Zonas Aridas (IADIZA), CCT CONICET Mendoza",Mendoza,Argentina
"Curcio, Nadia","Grupo de Investigación en Mamíferos Marinos del Golfo San Matías, Centro de Investigación Aplicada y Transferencia Tecnológica en Recursos Marinos Almirante Storni (CIMAS-CONICET)","Río Negro",Argentina
"Cuyckens, Griet An Erica","Instituto de Ecorregiones Andinas (INECOA) y Centro de Estudios Territoriales y Sociales (CETAS), Universidad Nacional de Jujuy - CONICET, S. S. de Jujuy",Jujuy,Argentina
"D'Agostino, Romina","Grupo de Estudio de Mamíferos Terrestres (GEMT), Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn",Chubut,Argentina
"Damino, M. Verónica","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET y Programa de Conservación de los Murciélagos de Argentina (PCMA)",Tucumán,Argentina
"Daneri, Gustavo A.","Laboratorio de Sistemática, Anatomía y Bioecología de Mamíferos Marinos, División Mastozoología, Museo Argentino de Ciencias Naturales Bernardino Rivadavia-CONICET",CABA,Argentina
"Dans, Silvana L.","Laboratorio de Mamíferos Marinos, Centro para el Estudio de Sistemas Marinos, Centro Nacional Patagónico (CESIMAR - CENPAT – CONICET)",Chubut,Argentina
"Dassis, Mariela","Instituto de Investigaciones Marinas y Costeras (IIMyC), Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Mar del Plata-CONICET","Buenos Aires",Argentina
"Dávalos, Victor","Proyecto Mirikiná y Fundación E.C.O., Formosa",Formosa,Argentina
"De Angelo, Carlos","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Proyecto Yaguareté, Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"de Bustos, Soledad","Secretaría de Ambiente y Desarrollo Sustentable de la Provincia de Salta y Fundación Biodiversidad, Salta",Salta,Argentina
"de la Colina, Alicia","Fundación Temaikén, Escobar","Buenos Aires",Argentina
"Decarre, Julieta","Grupo Biodiversidad, Ecología y Gestion Ambiental en Agroecosistemas, Instituto de Recursos Biológicos (IRB), INTA, Hurlingham","Buenos Aires",Argentina
"Deferrari, Guillermo","Centro Austral de Investigaciones Científicas y Técnicas (CADIC-CONICET) e Instituto de Ciencias Polares, Ambiente y Recursos Naturales (ICPA), Universidad Nacional de Tierra del Fuego (UNTDF), Ushuaia","Tierra del Fuego",Argentina
"Degrati, Mariana","Laboratorio de Mamíferos Marinos, Centro para el Estudio de Sistemas Marinos, Centro Nacional Patagónico (CESIMAR - CENPAT – CONICET)",Chubut,Argentina
"Dellabianca, Natalia A.","Laboratorio de Ecologia y Conservación de Vida Silvestre, CADIC-CONICET y Museo Acatushún de Aves y Mamíferos Marinos Australes, Ushuaia","Tierra del Fuego",Argentina
"Demaría, Manuel","Estación Experimental Agropecuaria San Luis, INTA, Villa Mercedes","San Luis",Argentina
"DeMatteo, Karen","Environmental Studies, Department of Biology, Washington University, St. Louis",,"Estados Unidos"
"Denápole, Lara","Área Flora y Fauna, Ministerio de Medio Ambiente, Campo y Producción de la Provincia de San Luis","San Luis",Argentina
"Denuncio, Pablo E.","Instituto de Investigaciones Marinas y Costeras (IIMyC), Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Mar del Plata-CONICET","Buenos Aires",Argentina
"Di Bitetti, Mario S.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones, Facultad de Ciencias Forestales (FACFOR-UNaM) y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Di Blanco, Yamil E.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Di Giácomo, Alejandro","Reserva El Bagual, Aves Argentinas",Formosa,Argentina
"Di Martino, Sebastián","The Conservation Land Trust Argentina (CLT), Mercedes",Corrientes,Argentina
"Díaz, Gabriela","Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Cuyo, Mendoza",Mendoza,Argentina
"Díaz, M. Mónica","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET, Programa de Conservación de los Murciélagos de Argentina (PCMA) y Fundación Miguel Lillo",Tucumán,Argentina
"Diego Queirolo","Universidad de la República, Uruguay",,Uruguay
"Donadío, Emiliano","Instituto de Investigaciones en Biodiversidad y Medioambiente (INIBIOMA, CONICET-UNCo) y Centro de Ecología Aplicada del Neuquén (CEAN), Junín de los Andes",Neuquén,Argentina
"D´Agostino, Valeria C.","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"D´Angelo, Romina","Dirección Nacional de Biodiversidad, Secretaría de Ambiente y Desarrollo Sustentable de la Nación",CABA,Argentina
"d´Hiriart, Sofía","División Mastozoología, Museo Argentino de Ciencias Naturales Bernardino Rivadavia (MACN-CONICET)",CABA,Argentina
"D’Elía, Guillermo","Instituto de Ciencias Ambientales y Evolutivas, Facultad de Ciencias, Universidad Austral de Chile, Valdivia",,Chile
