Names
Cacajao calvus ucayalii
Alouatta coibensis coibensis
Alouatta coibensis trabeata
Alouatta guariba guariba
Alouatta guariba clamitans
Alouatta seniculus seniculus
Alouatta seniculus arctoidea
Alouatta seniculus juara
Ateles geoffroyi geoffroyi
Ateles geoffroyi grisescens
Ateles geoffroyi ornatus
Ateles geoffroyi vellerosus
Ateles geoffroyi yucatanensis
Lagothrix cana tschudii
Cercopithecus mitis stuhlmanni
Cercopithecus pogonias grayi
Cercopithecus pogonias nigripes
Cercopithecus wolfi elegans
Macaca fascicularis aureus
Macaca fascicularis fuscus
Theropithecus gelada obscurus
Colobus guereza occidentalis
Piliocolobus badius temminckii
Presbytis chrysomelas chrysomelas
Presbytis chrysomelas cruciger
Presbytis hosei hosei
Presbytis hosei canicrus
Presbytis hosei everetti
Presbytis hosei sabana
Presbytis melalophos bicolor
Trachypithecus obscurus obscurus
Trachypithecus obscurus carbo
Trachypithecus obscurus flavicauda
Trachypithecus obscurus halonifer
Trachypithecus obscurus sanctorum
Trachypithecus obscurus seimundi
Trachypithecus obscurus styx
Nomascus concolor concolor
Nomascus concolor furvogaster
Nomascus concolor jingdongensis
Nomascus concolor lu
Nomascus concolor nasutus
Pan troglodytes vellerosus
Ratufa bicolor bicolor
Ratufa bicolor condorensis
Ratufa bicolor felli
Ratufa bicolor gigantea
Ratufa bicolor hainana
Ratufa bicolor leucogenys
Ratufa bicolor melanopepla
Ratufa bicolor palliata
Ratufa bicolor phaeopepla
Ratufa bicolor smithi
Ratufa indica centralis
Sciurillus pusillus glaucinus
Sciurus aestuans venustus
Sciurus anomalus pallescens
Sciurus granatensis hoffmanni
Sciurus granatensis splendidus
Sciurus griseus griseus
Sciurus griseus anthonyi
Sciurus griseus nigripes
Sciurus ignitus ignitus
Sciurus ignitus argentinius
Sciurus ignitus boliviensis
Sciurus ignitus cabrerai
Sciurus ignitus irroratus
Sciurus niger vulpinus
Sciurus pucheranii pucheranii
Sciurus pucheranii caucensis
Sciurus pucheranii medellinensis
Sciurus spadiceus spadiceus
Sciurus spadiceus steinbachi
Sciurus spadiceus tricolor
Sciurus variegatoides variegatoides
Sciurus variegatoides adolphei
Sciurus variegatoides atrirufus
Sciurus variegatoides bangsi
Sciurus variegatoides belti
Sciurus variegatoides boothiae
Sciurus variegatoides dorsalis
Sciurus variegatoides goldmani
Sciurus variegatoides helveolus
Sciurus variegatoides loweryi
Sciurus variegatoides managuensis
Sciurus variegatoides melania
Sciurus variegatoides rigidus
Sciurus variegatoides thomasi
Sciurus variegatoides underwoodi
Sciurus vulgaris cinerea
Sciurus vulgaris fusconigricans
Sciurus vulgaris varius
Tamiasciurus hudsonicus pallescens
Tamiasciurus hudsonicus regalis
Aeromys tephromelas tephromelas
Aeromys tephromelas phaeomelas
Belomys pearsonii pearsonii
Belomys pearsonii blandus
Eoglaucomys fimbriatus fimbriatus
Eoglaucomys fimbriatus baberi
Glaucomys sabrinus fuscus
Glaucomys sabrinus macrotis
Hylopetes nigripes nigripes
Hylopetes nigripes elassodontus
Hylopetes spadiceus spadiceus
Hylopetes spadiceus caroli
Petaurista alborufus alborufus
Petaurista alborufus castaneus
Petaurista alborufus lena
Petaurista alborufus leucocephalus
Petaurista alborufus ochraspis
Petaurista elegans elegans
Petaurista elegans banksi
Petaurista elegans caniceps
Petaurista elegans marica
Petaurista elegans punctatus
Petaurista elegans sumatrana
Petaurista elegans sybilla
Petaurista petaurista albiventer
Callosciurus caniceps concolor
Callosciurus erythraeus atrodorsalis
Dremomys rufigenis fuscus
Dremomys rufigenis ornatus
Funambulus sublineatus sublineatus
Funambulus sublineatus obscurus
Lariscus niobe vulcanus
Lariscus obscurus obscurus
Lariscus obscurus auroreus
Lariscus obscurus siberu
Nannosciurus melanotis bancanus
Prosciurillus leucomus occidentalis
Prosciurillus murinus griseus
Rhinosciurus laticaudatus laticaudatus
Rhinosciurus laticaudatus alacris
Rhinosciurus laticaudatus saturatus
Sundasciurus hippurus ornatus
Tamiops swinhoei spencei
Xerus rutilus dorsalis
Heliosciurus gambianus elegans
Heliosciurus rufobrachium occidentalis
Heliosciurus ruwenzorii schoutedeni
Paraxerus boehmi gazellae
Paraxerus ochraceus ganana
Paraxerus palliatus ornatus
Paraxerus palliatus sponsus
Protoxerus stangeri temminckii
Ammospermophilus harrisii harrisii
Ammospermophilus harrisii saxicolus
Ammospermophilus leucurus leucurus
Ammospermophilus leucurus canfieldiae
Ammospermophilus leucurus cinamomeus
Ammospermophilus leucurus escalante
Ammospermophilus leucurus extimus
Ammospermophilus leucurus notom
Ammospermophilus leucurus peninsulae
Ammospermophilus leucurus pennipes
Ammospermophilus leucurus tersus
Marmota baibacina centralis
Spermophilus citellus citellus
Spermophilus citellus gradojevici
Spermophilus citellus istricus
Spermophilus citellus martinoi
Spermophilus elegans elegans
Spermophilus elegans aureus
Spermophilus elegans nevadensis
Spermophilus mexicanus mexicanus
Spermophilus mexicanus parvidens
Spermophilus spilosoma spilosoma
Spermophilus spilosoma altiplanensis
Spermophilus spilosoma ammophilus
Spermophilus spilosoma annectens
Spermophilus spilosoma bavicorensis
Spermophilus spilosoma cabrerai
Spermophilus spilosoma canescens
Spermophilus spilosoma cryptospilotus
Spermophilus spilosoma marginatus
Spermophilus spilosoma obsoletus
Spermophilus spilosoma oricolus
Spermophilus spilosoma pallescens
Spermophilus spilosoma pratensis
Spermophilus tereticaudus neglectus
Spermophilus tridecemlineatus tridecemlineatus
Spermophilus tridecemlineatus alleni
Spermophilus tridecemlineatus arenicola
Spermophilus tridecemlineatus blanca
Spermophilus tridecemlineatus hollisteri
Spermophilus tridecemlineatus monticola
Spermophilus tridecemlineatus olivaceous
Spermophilus tridecemlineatus pallidus
Spermophilus tridecemlineatus parvus
Spermophilus tridecemlineatus texensis
Spermophilus variegatus variegatus
Spermophilus variegatus buckleyi
Spermophilus variegatus couchii
Spermophilus variegatus grammurus
Spermophilus variegatus robustus
Spermophilus variegatus rupestris
Spermophilus variegatus tularosae
Spermophilus variegatus utah
Tamias amoenus amoenus
Tamias amoenus affinis
Tamias amoenus albiventris
Tamias amoenus canicaudus
Tamias amoenus caurinus
Tamias amoenus celeris
Tamias amoenus cratericus
Tamias amoenus felix
Tamias amoenus ludibundus
Tamias amoenus luteiventris
Tamias amoenus monoensis
Tamias amoenus ochraceus
Tamias amoenus septentrionalis
Tamias amoenus vallicola
Tamias dorsalis dorsalis
Tamias dorsalis carminis
Tamias dorsalis grinnelli
Tamias dorsalis nidoensis
Tamias dorsalis sonoriensis
Tamias dorsalis utahensis
Tamias minimus minimus
Tamias minimus atristriatus
Tamias minimus borealis
Tamias minimus cacodemus
Tamias minimus caniceps
Tamias minimus caryi
Tamias minimus confinis
Tamias minimus consobrinus
Tamias minimus grisescens
Tamias minimus hudsonius
Tamias minimus neglectus
Tamias minimus operarius
Tamias minimus oreocetes
Tamias minimus pallidus
Tamias minimus pictus
Tamias minimus scrutator
Tamias minimus selkirki
Tamias minimus silvaticus
Tamias obscurus obscurus
Tamias obscurus davisi
Tamias obscurus meridionalis
Tamias sibiricus lineatus
Tamias speciosus speciosus
Tamias speciosus callipeplus
Tamias speciosus frater
Tamias speciosus sequoiensis
Tamias striatus griseus
Tamias striatus venustus
Tamias umbrinus montanus
Dipodomys heermanni heermanni
Dipodomys heermanni arenae
Dipodomys heermanni berkeleyensis
Dipodomys heermanni dixoni
Dipodomys heermanni goldmani
Dipodomys heermanni jolonensis
Dipodomys heermanni morroensis
Dipodomys heermanni swarthi
Dipodomys heermanni tularensis
Dipodomys microps centralis
Dipodomys microps occidentalis
Dipodomys ordii marshalli
Dipodomys ordii montanus
Dipodomys ordii obscurus
Dipodomys phillipsii ornatus
Dipodomys spectabilis spectabilis
Dipodomys spectabilis baileyi
Dipodomys spectabilis cratodon
Dipodomys spectabilis intermedius
Dipodomys spectabilis perblandus
Dipodomys spectabilis zygomaticus
Dipodomys venustus venustus
Dipodomys venustus elephantinus
Dipodomys venustus sanctiluciae
Microdipodops megacephalus megacephalus
Microdipodops megacephalus albiventer
Microdipodops megacephalus ambiguus
Microdipodops megacephalus atrirelictus
Microdipodops megacephalus californicus
Microdipodops megacephalus leucotis
Microdipodops megacephalus medius
Microdipodops megacephalus nasutus
Microdipodops megacephalus nexus
Microdipodops megacephalus oregonus
Microdipodops megacephalus paululus
Microdipodops megacephalus polionotus
Microdipodops megacephalus sabulonis
Heteromys australis australis
Heteromys australis conscius
Heteromys australis pacificus
Heteromys desmarestianus planifrons
Liomys pictus hispidus
Liomys salvini crispus
Chaetodipus arenarius albescens
Chaetodipus californicus dispar
Chaetodipus eremicus atrodorsalis
Chaetodipus hispidus hispidus
Chaetodipus hispidus paradoxus
Chaetodipus hispidus spilotus
Chaetodipus hispidus zacatecae
Chaetodipus intermedius minimus
Chaetodipus spinatus spinatus
Chaetodipus spinatus broccus
Chaetodipus spinatus bryanti
Chaetodipus spinatus evermanni
Chaetodipus spinatus guardiae
Chaetodipus spinatus lambi
Chaetodipus spinatus latijugularis
Chaetodipus spinatus lorenzi
Chaetodipus spinatus magdalenae
